,title,directors
512,513,Gabriel Axel
513,514,Emile Ardolino
514,515,William Dear
515,516,Joe Dante
516,517,Frédéric Back
517,518,Bryan Gordon
518,519,Aviva Slesin
519,520,Oliver Stone
520,521,Sin datos
521,522,Paul Verhoeven
522,523,Oliver Stone
523,524,James Ivory
524,525,Woody Allen
525,526,James Cameron
526,527,Roland Joffé
527,528,Randa Haines
528,529,Martin Scorsese
529,530,Tony Scott
530,531,Bertrand Tavernier
531,532,Brigitte Berman
532,533,Fons Rademakers
533,534,Lee Grant
534,535,David Cronenberg
535,536,Nicole Van Goethem
536,537,Chuck Workman
537,538,Vivienne Verdon-Roe
538,539,Sydney Pollack
539,540,Peter Weir
540,541,Ron Howard
541,542,John Huston
542,543,Robert Zemeckis
543,544,Héctor Babenco
544,545,Akira Kurosawa
545,546,Luis Puenzo
546,547,Peter Masterson
547,548,Taylor Hackford
548,549,Børge Ring
549,550,Victoria Mudd
550,551,Peter Bogdanovich
551,552,Jeffrey D. Brown
552,553,Deborah Shaffer
553,554,Miloš Forman
554,555,Roland Joffé
555,556,David Lean
556,557,Robert Benton
557,558,Steven Spielberg
558,559,John Minnis
559,560,Richard Dembo
560,561,Albert Magnoli
561,562,Marjorie HuntPaul Wagner
562,563,Rob Epstein
563,564,Mike HooverTim Huntley
564,565,Gene Wilder
565,566,Mark Rydell
566,567,James L. Brooks
567,568,Philip Kaufman
568,569,Ingmar Bergman
569,570,Bruce Beresford
570,571,Barbra Streisand
571,572,Adrian Lyne
572,573,Don McBrearty
573,574,Cynthia Scott
574,575,Emile Ardolino
575,576,Jimmy Picker
576,577,Peter Weir
577,578,Richard Marquand
578,579,Richard Attenborough
579,580,Steven Spielberg
580,581,Taylor Hackford
581,582,Sydney Pollack
582,583,Blake Edwards
583,584,Alan J. Pakula
584,585,Costa-Gavras
585,586,Terre Nash
586,587,John Zaritsky
587,588,James Scott
588,589,Zbigniew Rybczyński
589,590,José Luis Garci
590,591,Jean-Jacques Annaud
591,592,Hugh Hudson
592,593,Steven Spielberg
593,594,Warren Beatty
594,595,Mark Rydell
595,596,Steve Gordon
596,597,John Landis
597,598,Nigel Noble
598,599,Frédéric Back
599,600,Arnold Schwartzman
600,601,István Szabó
601,602,Shelley Levinson
602,603,Robert Redford
603,604,Roman Polanski
604,605,Martin Scorsese
605,606,Alan Parker
606,607,Jonathan Demme
607,608,Michael Apted
608,609,Irvin Kershner
609,610,Roger Christian
610,611,Ferenc Rofusz
611,612,Murray Lerner
612,613,Roland HalléPeter Ladue
613,614,Vladimir Menshov
